#RIC,Alias Underlying RIC,Domain,Date-Time,GMT Offset,Type,Open,High,Low,Last,Volume
HOc7,HOZ26,Market Price,2026-04-30T23:00:00.000000000Z,-4,Intraday 1Hour,,,,,27
HOc7,HOZ26,Market Price,2026-05-01T00:00:00.000000000Z,-4,Intraday 1Hour,,,,,64
HOc7,HOZ26,Market Price,2026-05-01T01:00:00.000000000Z,-4,Intraday 1Hour,3.287,3.2882,3.287,3.2881,10
HOc7,HOZ26,Market Price,2026-05-01T02:00:00.000000000Z,-4,Intraday 1Hour,3.2804,3.2859,3.2804,3.2859,25
HOc7,HOZ26,Market Price,2026-05-01T03:00:00.000000000Z,-4,Intraday 1Hour,3.2763,3.2763,3.2763,3.2763,1
HOc7,HOZ26,Market Price,2026-05-01T04:00:00.000000000Z,-4,Intraday 1Hour,3.2622,3.2622,3.262,3.262,22
HOc7,HOZ26,Market Price,2026-05-01T05:00:00.000000000Z,-4,Intraday 1Hour,3.2619,3.2619,3.2619,3.2619,5
HOc7,HOZ26,Market Price,2026-05-01T06:00:00.000000000Z,-4,Intraday 1Hour,3.2931,3.2931,3.292,3.292,28
HOc7,HOZ26,Market Price,2026-05-01T07:00:00.000000000Z,-4,Intraday 1Hour,3.2615,3.2787,3.2567,3.2696,119
HOc7,HOZ26,Market Price,2026-05-01T08:00:00.000000000Z,-4,Intraday 1Hour,3.2774,3.2919,3.2774,3.2877,95
HOc7,HOZ26,Market Price,2026-05-01T09:00:00.000000000Z,-4,Intraday 1Hour,3.2989,3.3044,3.279,3.279,33
HOc7,HOZ26,Market Price,2026-05-01T10:00:00.000000000Z,-4,Intraday 1Hour,3.2798,3.2798,3.2758,3.2762,35
HOc7,HOZ26,Market Price,2026-05-01T11:00:00.000000000Z,-4,Intraday 1Hour,3.2765,3.277,3.2643,3.2708,172
HOc7,HOZ26,Market Price,2026-05-01T12:00:00.000000000Z,-4,Intraday 1Hour,3.2647,3.2777,3.2377,3.2488,610
HOc7,HOZ26,Market Price,2026-05-01T13:00:00.000000000Z,-4,Intraday 1Hour,3.2492,3.2492,3.1954,3.1954,618
HOc7,HOZ26,Market Price,2026-05-01T14:00:00.000000000Z,-4,Intraday 1Hour,3.2014,3.2088,3.1684,3.2084,753
HOc7,HOZ26,Market Price,2026-05-01T15:00:00.000000000Z,-4,Intraday 1Hour,3.2079,3.2206,3.1842,3.1853,316
HOc7,HOZ26,Market Price,2026-05-01T16:00:00.000000000Z,-4,Intraday 1Hour,3.1877,3.2157,3.1806,3.2091,477
HOc7,HOZ26,Market Price,2026-05-01T17:00:00.000000000Z,-4,Intraday 1Hour,3.202,3.205,3.1881,3.1935,272
HOc7,HOZ26,Market Price,2026-05-01T18:00:00.000000000Z,-4,Intraday 1Hour,3.1898,3.2216,3.1881,3.2214,1435
HOc7,HOZ26,Market Price,2026-05-01T19:00:00.000000000Z,-4,Intraday 1Hour,3.2188,3.2227,3.2126,3.22,332
HOc7,HOZ26,Market Price,2026-05-01T20:00:00.000000000Z,-4,Intraday 1Hour,3.2218,3.2414,3.2218,3.2392,133
HOc7,HOZ26,Market Price,2026-05-03T22:00:00.000000000Z,-4,Intraday 1Hour,3.1925,3.208,3.1925,3.208,103
HOc7,HOZ26,Market Price,2026-05-03T23:00:00.000000000Z,-4,Intraday 1Hour,3.2103,3.2197,3.2103,3.2194,11
HOc7,HOZ26,Market Price,2026-05-04T00:00:00.000000000Z,-4,Intraday 1Hour,3.2201,3.2201,3.2201,3.2201,33
HOc7,HOZ26,Market Price,2026-05-04T01:00:00.000000000Z,-4,Intraday 1Hour,3.2129,3.2212,3.21,3.2212,11
HOc7,HOZ26,Market Price,2026-05-04T02:00:00.000000000Z,-4,Intraday 1Hour,,,,,5
HOc7,HOZ26,Market Price,2026-05-04T03:00:00.000000000Z,-4,Intraday 1Hour,3.2385,3.2416,3.236,3.236,19
HOc7,HOZ26,Market Price,2026-05-04T04:00:00.000000000Z,-4,Intraday 1Hour,3.2235,3.2235,3.217,3.2198,8
HOc7,HOZ26,Market Price,2026-05-04T05:00:00.000000000Z,-4,Intraday 1Hour,3.2043,3.2066,3.1977,3.2037,46
HOc7,HOZ26,Market Price,2026-05-04T06:00:00.000000000Z,-4,Intraday 1Hour,3.2141,3.2417,3.2141,3.2408,41
