#RIC,Alias Underlying RIC,Domain,Date-Time,GMT Offset,Type,Open,High,Low,Last,Volume
HOc1,HOM26,Market Price,2026-04-30T23:00:00.000000000Z,-4,Intraday 1Hour,4.1031,4.1155,4.1016,4.1019,178
HOc1,HOM26,Market Price,2026-05-01T00:00:00.000000000Z,-4,Intraday 1Hour,4.0954,4.1145,4.093,4.1052,129
HOc1,HOM26,Market Price,2026-05-01T01:00:00.000000000Z,-4,Intraday 1Hour,4.1134,4.1155,4.0912,4.0971,54
HOc1,HOM26,Market Price,2026-05-01T02:00:00.000000000Z,-4,Intraday 1Hour,4.0973,4.1269,4.0928,4.0971,108
HOc1,HOM26,Market Price,2026-05-01T03:00:00.000000000Z,-4,Intraday 1Hour,4.0951,4.1026,4.0942,4.0996,32
HOc1,HOM26,Market Price,2026-05-01T04:00:00.000000000Z,-4,Intraday 1Hour,4.0937,4.0977,4.0864,4.0864,36
HOc1,HOM26,Market Price,2026-05-01T05:00:00.000000000Z,-4,Intraday 1Hour,4.0906,4.0973,4.0857,4.0862,41
HOc1,HOM26,Market Price,2026-05-01T06:00:00.000000000Z,-4,Intraday 1Hour,4.0902,4.1336,4.0902,4.1174,271
HOc1,HOM26,Market Price,2026-05-01T07:00:00.000000000Z,-4,Intraday 1Hour,4.1155,4.1217,4.0559,4.1066,839
HOc1,HOM26,Market Price,2026-05-01T08:00:00.000000000Z,-4,Intraday 1Hour,4.1122,4.142,4.1007,4.1292,920
HOc1,HOM26,Market Price,2026-05-01T09:00:00.000000000Z,-4,Intraday 1Hour,4.1349,4.1549,4.0948,4.1004,519
HOc1,HOM26,Market Price,2026-05-01T10:00:00.000000000Z,-4,Intraday 1Hour,4.1029,4.1124,4.0887,4.0969,236
HOc1,HOM26,Market Price,2026-05-01T11:00:00.000000000Z,-4,Intraday 1Hour,4.0969,4.0969,4.0683,4.0709,489
HOc1,HOM26,Market Price,2026-05-01T12:00:00.000000000Z,-4,Intraday 1Hour,4.0714,4.0863,4.0132,4.0323,3154
HOc1,HOM26,Market Price,2026-05-01T13:00:00.000000000Z,-4,Intraday 1Hour,4.0342,4.037,3.95,3.9599,5828
