"release_date","time","actual","forecast","previous"
"14-05-2024","21:30","-3.104M","-1.350M","0.509M"
"07-05-2024","21:30","0.509M","-1.430M","4.906M"
"30-04-2024","21:30","4.906M","-1.500M","-3.230M"
"23-04-2024","21:30","-3.230M","1.800M","4.090M"
"16-04-2024","21:30","4.090M","","3.034M"
"09-04-2024","21:30","3.034M","2.415M","-2.286M"
"02-04-2024","21:30","-2.286M","-2.000M","9.337M"
"26-03-2024","20:30","9.337M","","-1.519M"
"19-03-2024","20:30","-1.519M","0.077M","-5.521M"
"12-03-2024","20:30","-5.521M","0.400M","0.423M"
"05-03-2024","21:30","0.423M","2.600M","8.428M"
"27-02-2024","21:30","8.428M","","7.168M"
"21-02-2024","21:30","7.168M","4.298M","8.520M"
"13-02-2024","21:30","8.520M","2.600M","0.674M"
"06-02-2024","21:30","0.674M","2.133M","-2.500M"
"30-01-2024","21:30","-2.500M","-0.867M","-6.674M"
"23-01-2024","21:30","-6.674M","-3.000M","0.483M"
"17-01-2024","21:30","0.483M","-2.400M","-5.215M"
"09-01-2024","21:30","-5.215M","-1.200M","-7.418M"
"03-01-2024","21:30","-7.418M","-2.967M","1.837M"
"27-12-2023","21:30","1.837M","","0.939M"
"19-12-2023","21:30","0.939M","-2.233M","-2.349M"
"12-12-2023","21:30","-2.349M","-1.500M","0.594M"
"05-12-2023","21:30","0.594M","-2.267M","-0.817M"
"28-11-2023","21:30","-0.817M","-2.000M","9.047M"
"21-11-2023","21:30","9.047M","1.467M","1.335M"
"14-11-2023","21:30","1.335M","1.400M","11.900M"
"07-11-2023","22:00","11.900M","-0.300M","1.347M"
"31-10-2023","20:30","1.347M","1.601M","-2.668M"
"24-10-2023","21:30","-2.668M","1.550M","-4.383M"
"17-10-2023","21:30","-4.383M","-1.267M","12.940M"
"11-10-2023","21:30","12.940M","1.300M","-4.210M"
"03-10-2023","21:30","-4.210M","-0.092M","1.586M"
"26-09-2023","21:30","1.586M","-1.650M","-5.250M"
"19-09-2023","21:30","-5.250M","-2.667M","1.174M"
"12-09-2023","21:30","1.174M","-2.000M","-5.521M"
"06-09-2023","21:30","-5.521M","-1.429M","-11.486M"
"29-08-2023","21:30","-11.486M","-2.900M","-2.418M"
"22-08-2023","21:30","-2.418M","-2.900M","-6.195M"
"15-08-2023","21:30","-6.195M","-2.050M","4.067M"
"08-08-2023","21:30","4.067M","-0.233M","-15.400M"
"01-08-2023","21:30","-15.400M","-0.900M","1.319M"
"25-07-2023","21:30","1.319M","-1.969M","-0.797M"
"18-07-2023","21:30","-0.797M","-2.250M","3.026M"
"11-07-2023","21:30","3.026M","0.200M","-4.382M"
"05-07-2023","21:30","-4.382M","-1.800M","-2.408M"
"27-06-2023","21:30","-2.408M","-1.467M","-1.246M"
"21-06-2023","21:30","-1.246M","-0.433M","1.024M"
"13-06-2023","21:30","1.024M","-1.291M","-1.710M"
"06-06-2023","21:30","-1.710M","1.500M","5.202M"
"31-05-2023","21:30","5.202M","-1.220M","-6.799M"
"23-05-2023","21:30","-6.799M","0.525M","3.690M"
"16-05-2023","21:30","3.690M","-1.300M","3.618M"
"09-05-2023","21:30","3.618M","-1.600M","-3.939M"
"02-05-2023","21:30","-3.939M","-1.000M","-6.083M"
"25-04-2023","21:30","-6.083M","-1.667M","-2.675M"
"18-04-2023","21:30","-2.675M","-2.464M","0.377M"
"11-04-2023","21:30","0.377M","-1.300M","-4.346M"
"04-04-2023","21:30","-4.346M","-1.800M","-6.076M"
"28-03-2023","21:30","-6.076M","0.187M","3.262M"
"21-03-2023","20:30","3.262M","-1.448M","1.155M"
"14-03-2023","20:30","1.155M","0.555M","-3.835M"
"07-03-2023","21:30","-3.835M","-0.308M","6.203M"
"28-02-2023","21:30","6.203M","0.440M","9.895M"
"22-02-2023","21:30","9.895M","1.233M","10.507M"
"14-02-2023","21:30","10.507M","0.321M","-2.184M"
"07-02-2023","21:30","-2.184M","2.150M","6.330M"
"31-01-2023","21:30","6.330M","-1.000M","3.378M"
"24-01-2023","21:30","3.378M","1.600M","7.615M"
"18-01-2023","21:30","7.615M","-1.750M","14.865M"
"10-01-2023","21:30","14.865M","-2.375M","3.298M"
"04-01-2023","21:30","3.298M","","-1.300M"
"28-12-2022","21:30","-1.300M","","-3.069M"
"20-12-2022","21:30","-3.069M","-0.167M","7.819M"
"13-12-2022","21:30","7.819M","-3.913M","-6.426M"
"06-12-2022","21:30","-6.426M","-3.884M","-7.850M"
"29-11-2022","21:30","-7.850M","-2.487M","-4.819M"
"22-11-2022","21:30","-4.819M","-2.200M","-5.835M"
"15-11-2022","21:30","-5.835M","-0.400M","5.618M"
"08-11-2022","21:30","5.618M","1.100M","-6.530M"
"01-11-2022","20:30","-6.530M","0.267M","4.520M"
"25-10-2022","21:30","4.520M","0.200M","-1.270M"
"18-10-2022","21:30","-1.270M","1.551M","7.054M"
"12-10-2022","21:30","7.054M","","-1.770M"
"04-10-2022","21:30","-1.770M","1.966M","4.150M"
"27-09-2022","21:30","4.150M","0.333M","1.035M"
"20-09-2022","21:30","1.035M","2.321M","6.035M"
"13-09-2022","21:30","6.035M","-0.200M","3.645M"
"07-09-2022","21:30","3.645M","-0.733M","0.593M"
"30-08-2022","21:30","0.593M","-0.633M","-5.632M"
"23-08-2022","21:30","-5.632M","-0.450M","-0.448M"
"16-08-2022","21:30","-0.448M","-0.117M","2.156M"
"09-08-2022","21:30","2.156M","0.073M","2.165M"
"02-08-2022","21:30","2.165M","-0.467M","-4.037M"
"26-07-2022","21:30","-4.037M","-1.121M","1.860M"
