#RIC,Alias Underlying RIC,Domain,Date-Time,GMT Offset,Type,Open,High,Low,Last,Volume
LGOc3,LGON6,Market Price,2026-05-01T00:00:00.000000000Z,+1,Intraday 1Hour,1159.75,1163,1157.5,1160.5,128
LGOc3,LGON6,Market Price,2026-05-01T01:00:00.000000000Z,+1,Intraday 1Hour,1163.25,1163.75,1155.75,1157.25,66
LGOc3,LGON6,Market Price,2026-05-01T02:00:00.000000000Z,+1,Intraday 1Hour,1155.5,1164.5,1155.5,1161,106
LGOc3,LGON6,Market Price,2026-05-01T03:00:00.000000000Z,+1,Intraday 1Hour,1157.25,1158.75,1155.5,1157.5,39
LGOc3,LGON6,Market Price,2026-05-01T04:00:00.000000000Z,+1,Intraday 1Hour,1154.5,1156.25,1154.5,1155.25,18
LGOc3,LGON6,Market Price,2026-05-01T05:00:00.000000000Z,+1,Intraday 1Hour,1156,1156.5,1153.25,1154.75,246
LGOc3,LGON6,Market Price,2026-05-01T06:00:00.000000000Z,+1,Intraday 1Hour,1156.25,1165.5,1155.25,1163,313
LGOc3,LGON6,Market Price,2026-05-01T07:00:00.000000000Z,+1,Intraday 1Hour,1161.75,1163.5,1147,1160,1483
LGOc3,LGON6,Market Price,2026-05-01T08:00:00.000000000Z,+1,Intraday 1Hour,1160.5,1171.25,1158.25,1168.5,1596
LGOc3,LGON6,Market Price,2026-05-01T09:00:00.000000000Z,+1,Intraday 1Hour,1169.75,1175.25,1161.75,1162.75,1539
LGOc3,LGON6,Market Price,2026-05-01T10:00:00.000000000Z,+1,Intraday 1Hour,1164.25,1166.5,1159.75,1160.75,1247
LGOc3,LGON6,Market Price,2026-05-01T11:00:00.000000000Z,+1,Intraday 1Hour,1160.75,1160.75,1154,1155.5,1435
LGOc3,LGON6,Market Price,2026-05-01T12:00:00.000000000Z,+1,Intraday 1Hour,1154.5,1158.5,1139,1146.25,4156
LGOc3,LGON6,Market Price,2026-05-01T13:00:00.000000000Z,+1,Intraday 1Hour,1146.25,1147,1127.25,1130,5078
LGOc3,LGON6,Market Price,2026-05-01T14:00:00.000000000Z,+1,Intraday 1Hour,1130,1139.75,1115,1139.75,6903
LGOc3,LGON6,Market Price,2026-05-01T15:00:00.000000000Z,+1,Intraday 1Hour,1140.25,1144.75,1129,1131,6312
LGOc3,LGON6,Market Price,2026-05-01T16:00:00.000000000Z,+1,Intraday 1Hour,1131.25,1140.25,1125.25,1138.5,4884
LGOc3,LGON6,Market Price,2026-05-01T17:00:00.000000000Z,+1,Intraday 1Hour,1138.5,1138.5,1122.75,1124.25,1182
LGOc3,LGON6,Market Price,2026-05-01T18:00:00.000000000Z,+1,Intraday 1Hour,1124.5,1131.25,1122.75,1130.75,3000
LGOc3,LGON6,Market Price,2026-05-01T19:00:00.000000000Z,+1,Intraday 1Hour,1129.75,1130.25,1124,1127,986
LGOc3,LGON6,Market Price,2026-05-01T20:00:00.000000000Z,+1,Intraday 1Hour,1128.75,1135.25,1128.75,1132.25,386
LGOc3,LGON6,Market Price,2026-05-01T21:00:00.000000000Z,+1,Intraday 1Hour,1134.75,1134.75,1134.75,1134.75,8
LGOc3,LGON6,Market Price,2026-05-03T22:00:00.000000000Z,+1,Intraday 1Hour,1118,1126.25,1111.5,1120.25,489
LGOc3,LGON6,Market Price,2026-05-03T23:00:00.000000000Z,+1,Intraday 1Hour,1123,1127.75,1123,1126.5,45
LGOc3,LGON6,Market Price,2026-05-04T00:00:00.000000000Z,+1,Intraday 1Hour,1130.5,1131,1122.25,1122.5,241
LGOc3,LGON6,Market Price,2026-05-04T01:00:00.000000000Z,+1,Intraday 1Hour,1122.75,1125.75,1122.75,1125.5,28
LGOc3,LGON6,Market Price,2026-05-04T02:00:00.000000000Z,+1,Intraday 1Hour,1125.5,1130,1124.75,1129,67
LGOc3,LGON6,Market Price,2026-05-04T03:00:00.000000000Z,+1,Intraday 1Hour,1128.25,1132.5,1128.25,1129.5,90
LGOc3,LGON6,Market Price,2026-05-04T04:00:00.000000000Z,+1,Intraday 1Hour,1126,1126.5,1123.75,1126.5,101
LGOc3,LGON6,Market Price,2026-05-04T05:00:00.000000000Z,+1,Intraday 1Hour,1120.5,1123.75,1111.25,1119,295
LGOc3,LGON6,Market Price,2026-05-04T06:00:00.000000000Z,+1,Intraday 1Hour,1120,1135.25,1118.75,1135,806
