#RIC,Alias Underlying RIC,Domain,Date-Time,GMT Offset,Type,Open,High,Low,Last,Volume
LGOc9,LGOF7,Market Price,2026-05-01T00:00:00.000000000Z,+1,Intraday 1Hour,898,898,897.25,897.25,23
LGOc9,LGOF7,Market Price,2026-05-01T01:00:00.000000000Z,+1,Intraday 1Hour,900,900,895.75,895.75,11
LGOc9,LGOF7,Market Price,2026-05-01T02:00:00.000000000Z,+1,Intraday 1Hour,901,901.75,901,901.75,15
LGOc9,LGOF7,Market Price,2026-05-01T03:00:00.000000000Z,+1,Intraday 1Hour,896,896,896,896,2
LGOc9,LGOF7,Market Price,2026-05-01T04:00:00.000000000Z,+1,Intraday 1Hour,895.5,895.5,895.5,895.5,5
LGOc9,LGOF7,Market Price,2026-05-01T05:00:00.000000000Z,+1,Intraday 1Hour,,,,,27
LGOc9,LGOF7,Market Price,2026-05-01T06:00:00.000000000Z,+1,Intraday 1Hour,895.25,900.25,895.25,900,210
LGOc9,LGOF7,Market Price,2026-05-01T07:00:00.000000000Z,+1,Intraday 1Hour,899.5,900,897.5,897.5,167
LGOc9,LGOF7,Market Price,2026-05-01T08:00:00.000000000Z,+1,Intraday 1Hour,897.75,900.75,896.75,900.75,139
LGOc9,LGOF7,Market Price,2026-05-01T09:00:00.000000000Z,+1,Intraday 1Hour,904,905.5,899.5,899.5,147
LGOc9,LGOF7,Market Price,2026-05-01T10:00:00.000000000Z,+1,Intraday 1Hour,900.25,900.25,899,899.5,37
LGOc9,LGOF7,Market Price,2026-05-01T11:00:00.000000000Z,+1,Intraday 1Hour,899.5,900.5,897.75,897.75,60
LGOc9,LGOF7,Market Price,2026-05-01T12:00:00.000000000Z,+1,Intraday 1Hour,896.75,897.75,888.25,892.75,288
LGOc9,LGOF7,Market Price,2026-05-01T13:00:00.000000000Z,+1,Intraday 1Hour,888.5,888.5,876,876,983
LGOc9,LGOF7,Market Price,2026-05-01T14:00:00.000000000Z,+1,Intraday 1Hour,876.75,878.5,868,878.5,611
LGOc9,LGOF7,Market Price,2026-05-01T15:00:00.000000000Z,+1,Intraday 1Hour,879.25,881.75,871.75,872.25,411
LGOc9,LGOF7,Market Price,2026-05-01T16:00:00.000000000Z,+1,Intraday 1Hour,870.75,880.25,870.75,877.5,203
LGOc9,LGOF7,Market Price,2026-05-01T17:00:00.000000000Z,+1,Intraday 1Hour,875.5,875.5,874.25,874.25,99
LGOc9,LGOF7,Market Price,2026-05-01T18:00:00.000000000Z,+1,Intraday 1Hour,875.5,884.25,875.25,884.25,438
LGOc9,LGOF7,Market Price,2026-05-01T19:00:00.000000000Z,+1,Intraday 1Hour,884,884,883,883,33
LGOc9,LGOF7,Market Price,2026-05-01T20:00:00.000000000Z,+1,Intraday 1Hour,886.25,888.75,886.25,888.75,41
LGOc9,LGOF7,Market Price,2026-05-03T22:00:00.000000000Z,+1,Intraday 1Hour,884.25,884.75,883.75,884.5,52
LGOc9,LGOF7,Market Price,2026-05-04T00:00:00.000000000Z,+1,Intraday 1Hour,887,887,887,887,5
LGOc9,LGOF7,Market Price,2026-05-04T01:00:00.000000000Z,+1,Intraday 1Hour,883,883,881.5,881.75,8
LGOc9,LGOF7,Market Price,2026-05-04T02:00:00.000000000Z,+1,Intraday 1Hour,,,,,20
LGOc9,LGOF7,Market Price,2026-05-04T03:00:00.000000000Z,+1,Intraday 1Hour,890.25,890.25,890.25,890.25,12
LGOc9,LGOF7,Market Price,2026-05-04T04:00:00.000000000Z,+1,Intraday 1Hour,889.5,889.5,886.5,886.5,45
LGOc9,LGOF7,Market Price,2026-05-04T05:00:00.000000000Z,+1,Intraday 1Hour,886.75,886.75,878.5,886.75,26
LGOc9,LGOF7,Market Price,2026-05-04T06:00:00.000000000Z,+1,Intraday 1Hour,889.25,891.75,885.5,891,24
LGOc9,LGOF7,Market Price,2026-05-04T07:00:00.000000000Z,+1,Intraday 1Hour,896,896.5,896,896,40
LGOc9,LGOF7,Market Price,2026-05-04T08:00:00.000000000Z,+1,Intraday 1Hour,899,900.25,890.75,891,114
LGOc9,LGOF7,Market Price,2026-05-04T09:00:00.000000000Z,+1,Intraday 1Hour,889,890.5,889,890.5,25
