#RIC,Alias Underlying RIC,Domain,Date-Time,GMT Offset,Type,Open,High,Low,Last,Volume
LGOc12,LGOJ7,Market Price,2026-05-01T00:00:00.000000000Z,+1,Intraday 1Hour,842.5,842.5,842.5,842.5,3
LGOc12,LGOJ7,Market Price,2026-05-01T01:00:00.000000000Z,+1,Intraday 1Hour,843.75,843.75,840,840,4
LGOc12,LGOJ7,Market Price,2026-05-01T02:00:00.000000000Z,+1,Intraday 1Hour,845.75,845.75,845.75,845.75,1
LGOc12,LGOJ7,Market Price,2026-05-01T03:00:00.000000000Z,+1,Intraday 1Hour,,,,,1
LGOc12,LGOJ7,Market Price,2026-05-01T06:00:00.000000000Z,+1,Intraday 1Hour,840,840.25,840,840.25,25
LGOc12,LGOJ7,Market Price,2026-05-01T07:00:00.000000000Z,+1,Intraday 1Hour,841.5,841.5,841,841,32
LGOc12,LGOJ7,Market Price,2026-05-01T08:00:00.000000000Z,+1,Intraday 1Hour,844,844,842.25,842.75,46
LGOc12,LGOJ7,Market Price,2026-05-01T09:00:00.000000000Z,+1,Intraday 1Hour,848.5,848.5,848.25,848.25,38
LGOc12,LGOJ7,Market Price,2026-05-01T10:00:00.000000000Z,+1,Intraday 1Hour,843.5,844.25,843.5,844,17
LGOc12,LGOJ7,Market Price,2026-05-01T11:00:00.000000000Z,+1,Intraday 1Hour,843.75,843.75,842.5,842.5,38
LGOc12,LGOJ7,Market Price,2026-05-01T12:00:00.000000000Z,+1,Intraday 1Hour,841.75,841.75,834.25,836.75,97
LGOc12,LGOJ7,Market Price,2026-05-01T13:00:00.000000000Z,+1,Intraday 1Hour,836.5,836.5,826,826.5,187
LGOc12,LGOJ7,Market Price,2026-05-01T14:00:00.000000000Z,+1,Intraday 1Hour,823.75,825.5,817.25,825.25,338
LGOc12,LGOJ7,Market Price,2026-05-01T15:00:00.000000000Z,+1,Intraday 1Hour,826,827.25,818.75,818.75,60
LGOc12,LGOJ7,Market Price,2026-05-01T16:00:00.000000000Z,+1,Intraday 1Hour,818.75,827.25,818.75,827.25,80
LGOc12,LGOJ7,Market Price,2026-05-01T17:00:00.000000000Z,+1,Intraday 1Hour,824,824,824,824,48
LGOc12,LGOJ7,Market Price,2026-05-01T18:00:00.000000000Z,+1,Intraday 1Hour,828.25,828.5,828,828,96
LGOc12,LGOJ7,Market Price,2026-05-01T19:00:00.000000000Z,+1,Intraday 1Hour,,,,,1
LGOc12,LGOJ7,Market Price,2026-05-01T20:00:00.000000000Z,+1,Intraday 1Hour,,,,,17
LGOc12,LGOJ7,Market Price,2026-05-03T22:00:00.000000000Z,+1,Intraday 1Hour,828.75,828.75,828.75,828.75,69
LGOc12,LGOJ7,Market Price,2026-05-04T00:00:00.000000000Z,+1,Intraday 1Hour,,,,,6
LGOc12,LGOJ7,Market Price,2026-05-04T01:00:00.000000000Z,+1,Intraday 1Hour,829.25,829.5,829.25,829.5,6
LGOc12,LGOJ7,Market Price,2026-05-04T04:00:00.000000000Z,+1,Intraday 1Hour,834,834,833.75,833.75,20
LGOc12,LGOJ7,Market Price,2026-05-04T05:00:00.000000000Z,+1,Intraday 1Hour,828.75,834.25,827.5,834.25,4
LGOc12,LGOJ7,Market Price,2026-05-04T06:00:00.000000000Z,+1,Intraday 1Hour,837,837,837,837,24
LGOc12,LGOJ7,Market Price,2026-05-04T07:00:00.000000000Z,+1,Intraday 1Hour,,,,,2
LGOc12,LGOJ7,Market Price,2026-05-04T08:00:00.000000000Z,+1,Intraday 1Hour,842,842,839,839,98
LGOc12,LGOJ7,Market Price,2026-05-04T09:00:00.000000000Z,+1,Intraday 1Hour,,,,,4
LGOc12,LGOJ7,Market Price,2026-05-04T10:00:00.000000000Z,+1,Intraday 1Hour,841.25,852.25,840.5,841.75,84
LGOc12,LGOJ7,Market Price,2026-05-04T11:00:00.000000000Z,+1,Intraday 1Hour,844,846.25,844,844.25,16
LGOc12,LGOJ7,Market Price,2026-05-04T12:00:00.000000000Z,+1,Intraday 1Hour,,,,,39
LGOc12,LGOJ7,Market Price,2026-05-04T13:00:00.000000000Z,+1,Intraday 1Hour,849.25,850,836.75,841.5,48
LGOc12,LGOJ7,Market Price,2026-05-04T14:00:00.000000000Z,+1,Intraday 1Hour,843,848.75,841,848.75,33
LGOc12,LGOJ7,Market Price,2026-05-04T15:00:00.000000000Z,+1,Intraday 1Hour,850.5,858,847.75,858,167
LGOc12,LGOJ7,Market Price,2026-05-04T16:00:00.000000000Z,+1,Intraday 1Hour,858.75,863.5,858.75,862.25,161
LGOc12,LGOJ7,Market Price,2026-05-04T17:00:00.000000000Z,+1,Intraday 1Hour,861.75,861.75,859.75,860,303
LGOc12,LGOJ7,Market Price,2026-05-04T18:00:00.000000000Z,+1,Intraday 1Hour,853.75,861,853.75,861,77
LGOc12,LGOJ7,Market Price,2026-05-04T19:00:00.000000000Z,+1,Intraday 1Hour,,,,,57
LGOc12,LGOJ7,Market Price,2026-05-04T20:00:00.000000000Z,+1,Intraday 1Hour,,,,,20
LGOc12,LGOJ7,Market Price,2026-05-05T01:00:00.000000000Z,+1,Intraday 1Hour,,,,,4
LGOc12,LGOJ7,Market Price,2026-05-05T02:00:00.000000000Z,+1,Intraday 1Hour,,,,,2
LGOc12,LGOJ7,Market Price,2026-05-05T04:00:00.000000000Z,+1,Intraday 1Hour,851,851,851,851,10
LGOc12,LGOJ7,Market Price,2026-05-05T05:00:00.000000000Z,+1,Intraday 1Hour,853.5,854.5,853.5,854.5,10
LGOc12,LGOJ7,Market Price,2026-05-05T06:00:00.000000000Z,+1,Intraday 1Hour,856,856,856,856,24
LGOc12,LGOJ7,Market Price,2026-05-05T07:00:00.000000000Z,+1,Intraday 1Hour,853,853,850.25,850.25,38
LGOc12,LGOJ7,Market Price,2026-05-05T08:00:00.000000000Z,+1,Intraday 1Hour,,,,,18
LGOc12,LGOJ7,Market Price,2026-05-05T09:00:00.000000000Z,+1,Intraday 1Hour,,,,,5
LGOc12,LGOJ7,Market Price,2026-05-05T10:00:00.000000000Z,+1,Intraday 1Hour,856,856,856,856,30
LGOc12,LGOJ7,Market Price,2026-05-05T11:00:00.000000000Z,+1,Intraday 1Hour,856.75,856.75,856.75,856.75,155
LGOc12,LGOJ7,Market Price,2026-05-05T12:00:00.000000000Z,+1,Intraday 1Hour,858.5,858.5,844.5,844.5,55
LGOc12,LGOJ7,Market Price,2026-05-05T13:00:00.000000000Z,+1,Intraday 1Hour,845.5,847,845.5,846.5,54
LGOc12,LGOJ7,Market Price,2026-05-05T14:00:00.000000000Z,+1,Intraday 1Hour,846,853.25,846,853.25,82
LGOc12,LGOJ7,Market Price,2026-05-05T15:00:00.000000000Z,+1,Intraday 1Hour,854.5,854.5,851,853.75,56
LGOc12,LGOJ7,Market Price,2026-05-05T16:00:00.000000000Z,+1,Intraday 1Hour,,,,,66
LGOc12,LGOJ7,Market Price,2026-05-05T17:00:00.000000000Z,+1,Intraday 1Hour,853.75,854.5,853,854.25,18
LGOc12,LGOJ7,Market Price,2026-05-05T18:00:00.000000000Z,+1,Intraday 1Hour,856,856,855.25,855.25,42
LGOc12,LGOJ7,Market Price,2026-05-05T19:00:00.000000000Z,+1,Intraday 1Hour,858,858,858,858,31
LGOc12,LGOJ7,Market Price,2026-05-05T20:00:00.000000000Z,+1,Intraday 1Hour,,,,,15
LGOc12,LGOJ7,Market Price,2026-05-06T00:00:00.000000000Z,+1,Intraday 1Hour,,,,,4
LGOc12,LGOJ7,Market Price,2026-05-06T01:00:00.000000000Z,+1,Intraday 1Hour,849.25,849.25,849.25,849.25,12
LGOc12,LGOJ7,Market Price,2026-05-06T04:00:00.000000000Z,+1,Intraday 1Hour,845,845,844,844,18
LGOc12,LGOJ7,Market Price,2026-05-06T05:00:00.000000000Z,+1,Intraday 1Hour,,,,,6
LGOc12,LGOJ7,Market Price,2026-05-06T06:00:00.000000000Z,+1,Intraday 1Hour,843,843,843,843,6
LGOc12,LGOJ7,Market Price,2026-05-06T07:00:00.000000000Z,+1,Intraday 1Hour,847,847,835,835,32
LGOc12,LGOJ7,Market Price,2026-05-06T08:00:00.000000000Z,+1,Intraday 1Hour,836.75,843.5,814.5,818.75,315
LGOc12,LGOJ7,Market Price,2026-05-06T09:00:00.000000000Z,+1,Intraday 1Hour,816.25,821.75,813.75,819.5,399
LGOc12,LGOJ7,Market Price,2026-05-06T10:00:00.000000000Z,+1,Intraday 1Hour,813.75,816.25,805,807,520
LGOc12,LGOJ7,Market Price,2026-05-06T11:00:00.000000000Z,+1,Intraday 1Hour,808,818,800.75,818,256
LGOc12,LGOJ7,Market Price,2026-05-06T12:00:00.000000000Z,+1,Intraday 1Hour,818,827.25,817.75,824.75,289
LGOc12,LGOJ7,Market Price,2026-05-06T13:00:00.000000000Z,+1,Intraday 1Hour,827,828.5,827,828.5,88
LGOc12,LGOJ7,Market Price,2026-05-06T14:00:00.000000000Z,+1,Intraday 1Hour,827.75,827.75,821,822,200
LGOc12,LGOJ7,Market Price,2026-05-06T15:00:00.000000000Z,+1,Intraday 1Hour,822.75,825,822,823.25,69
LGOc12,LGOJ7,Market Price,2026-05-06T16:00:00.000000000Z,+1,Intraday 1Hour,826.25,826.5,822.75,826.5,141
LGOc12,LGOJ7,Market Price,2026-05-06T17:00:00.000000000Z,+1,Intraday 1Hour,826,827.75,826,827.75,47
