#RIC,Alias Underlying RIC,Domain,Date-Time,GMT Offset,Type,Open,High,Low,Last,Volume
LGOc11,LGOH7,Market Price,2026-05-01T00:00:00.000000000Z,+1,Intraday 1Hour,861.5,861.5,861.5,861.5,20
LGOc11,LGOH7,Market Price,2026-05-01T01:00:00.000000000Z,+1,Intraday 1Hour,863.75,863.75,859,859,10
LGOc11,LGOH7,Market Price,2026-05-01T02:00:00.000000000Z,+1,Intraday 1Hour,,,,,12
LGOc11,LGOH7,Market Price,2026-05-01T03:00:00.000000000Z,+1,Intraday 1Hour,859.5,860.75,859.5,860.75,3
LGOc11,LGOH7,Market Price,2026-05-01T04:00:00.000000000Z,+1,Intraday 1Hour,,,,,2
LGOc11,LGOH7,Market Price,2026-05-01T05:00:00.000000000Z,+1,Intraday 1Hour,,,,,4
LGOc11,LGOH7,Market Price,2026-05-01T06:00:00.000000000Z,+1,Intraday 1Hour,859.25,863,859.25,863,45
LGOc11,LGOH7,Market Price,2026-05-01T07:00:00.000000000Z,+1,Intraday 1Hour,,,,,127
LGOc11,LGOH7,Market Price,2026-05-01T08:00:00.000000000Z,+1,Intraday 1Hour,861.75,863,860.75,861.5,66
LGOc11,LGOH7,Market Price,2026-05-01T09:00:00.000000000Z,+1,Intraday 1Hour,866,867.75,866,867.25,106
LGOc11,LGOH7,Market Price,2026-05-01T10:00:00.000000000Z,+1,Intraday 1Hour,862.5,863,862,862.75,53
LGOc11,LGOH7,Market Price,2026-05-01T11:00:00.000000000Z,+1,Intraday 1Hour,862.75,862.75,861.25,861.25,115
LGOc11,LGOH7,Market Price,2026-05-01T12:00:00.000000000Z,+1,Intraday 1Hour,861.5,861.5,852.5,856.75,306
LGOc11,LGOH7,Market Price,2026-05-01T13:00:00.000000000Z,+1,Intraday 1Hour,853.75,854.25,841,841,778
LGOc11,LGOH7,Market Price,2026-05-01T14:00:00.000000000Z,+1,Intraday 1Hour,841,843.5,834.75,843,1211
LGOc11,LGOH7,Market Price,2026-05-01T15:00:00.000000000Z,+1,Intraday 1Hour,844,844,837,837.5,230
LGOc11,LGOH7,Market Price,2026-05-01T16:00:00.000000000Z,+1,Intraday 1Hour,840,844.75,839.75,844,191
LGOc11,LGOH7,Market Price,2026-05-01T17:00:00.000000000Z,+1,Intraday 1Hour,,,,,122
LGOc11,LGOH7,Market Price,2026-05-01T18:00:00.000000000Z,+1,Intraday 1Hour,843,846.25,843,846.25,121
LGOc11,LGOH7,Market Price,2026-05-01T19:00:00.000000000Z,+1,Intraday 1Hour,848.5,848.5,848.5,848.5,52
LGOc11,LGOH7,Market Price,2026-05-01T20:00:00.000000000Z,+1,Intraday 1Hour,851.25,853.75,851.25,853.75,81
LGOc11,LGOH7,Market Price,2026-05-03T22:00:00.000000000Z,+1,Intraday 1Hour,850.75,850.75,842.5,842.5,79
LGOc11,LGOH7,Market Price,2026-05-03T23:00:00.000000000Z,+1,Intraday 1Hour,,,,,2
LGOc11,LGOH7,Market Price,2026-05-04T00:00:00.000000000Z,+1,Intraday 1Hour,,,,,3
LGOc11,LGOH7,Market Price,2026-05-04T01:00:00.000000000Z,+1,Intraday 1Hour,848.5,848.5,847,847.25,19
LGOc11,LGOH7,Market Price,2026-05-04T02:00:00.000000000Z,+1,Intraday 1Hour,,,,,5
LGOc11,LGOH7,Market Price,2026-05-04T03:00:00.000000000Z,+1,Intraday 1Hour,,,,,4
LGOc11,LGOH7,Market Price,2026-05-04T04:00:00.000000000Z,+1,Intraday 1Hour,852.25,852.25,851.75,851.75,33
LGOc11,LGOH7,Market Price,2026-05-04T05:00:00.000000000Z,+1,Intraday 1Hour,847.25,852.75,845.25,851.75,25
LGOc11,LGOH7,Market Price,2026-05-04T06:00:00.000000000Z,+1,Intraday 1Hour,851.5,857.5,851.5,857.5,43
LGOc11,LGOH7,Market Price,2026-05-04T07:00:00.000000000Z,+1,Intraday 1Hour,858.5,861.5,858.5,861.5,124
LGOc11,LGOH7,Market Price,2026-05-04T08:00:00.000000000Z,+1,Intraday 1Hour,864.75,864.75,857,857.5,150
LGOc11,LGOH7,Market Price,2026-05-04T09:00:00.000000000Z,+1,Intraday 1Hour,858.25,858.25,856.5,856.5,16
LGOc11,LGOH7,Market Price,2026-05-04T10:00:00.000000000Z,+1,Intraday 1Hour,859,872.25,858.5,859.75,590
LGOc11,LGOH7,Market Price,2026-05-04T11:00:00.000000000Z,+1,Intraday 1Hour,862.25,865,862,862,415
LGOc11,LGOH7,Market Price,2026-05-04T12:00:00.000000000Z,+1,Intraday 1Hour,860.75,863,860.75,863,79
LGOc11,LGOH7,Market Price,2026-05-04T13:00:00.000000000Z,+1,Intraday 1Hour,864.5,868,854,859.5,261
LGOc11,LGOH7,Market Price,2026-05-04T14:00:00.000000000Z,+1,Intraday 1Hour,860.5,867.75,858.25,867.75,248
LGOc11,LGOH7,Market Price,2026-05-04T15:00:00.000000000Z,+1,Intraday 1Hour,868.5,877.75,865.25,876.25,1500
LGOc11,LGOH7,Market Price,2026-05-04T16:00:00.000000000Z,+1,Intraday 1Hour,877,881.75,877,881.5,608
LGOc11,LGOH7,Market Price,2026-05-04T17:00:00.000000000Z,+1,Intraday 1Hour,880.75,880.75,875.75,878,357
LGOc11,LGOH7,Market Price,2026-05-04T18:00:00.000000000Z,+1,Intraday 1Hour,876,880,876,879.5,310
LGOc11,LGOH7,Market Price,2026-05-04T19:00:00.000000000Z,+1,Intraday 1Hour,875.25,876.75,875.25,875.25,186
LGOc11,LGOH7,Market Price,2026-05-04T20:00:00.000000000Z,+1,Intraday 1Hour,,,,,49
LGOc11,LGOH7,Market Price,2026-05-05T00:00:00.000000000Z,+1,Intraday 1Hour,,,,,17
LGOc11,LGOH7,Market Price,2026-05-05T01:00:00.000000000Z,+1,Intraday 1Hour,,,,,12
LGOc11,LGOH7,Market Price,2026-05-05T02:00:00.000000000Z,+1,Intraday 1Hour,,,,,28
LGOc11,LGOH7,Market Price,2026-05-05T03:00:00.000000000Z,+1,Intraday 1Hour,870,870,870,870,5
