#RIC,Alias Underlying RIC,Domain,Date-Time,GMT Offset,Type,Open,High,Low,Last,Volume
LGOc1,LGOK6,Market Price,2026-05-01T00:00:00.000000000Z,+1,Intraday 1Hour,1320.75,1323.25,1320.75,1322.5,55
LGOc1,LGOK6,Market Price,2026-05-01T01:00:00.000000000Z,+1,Intraday 1Hour,1323.5,1324.5,1319,1320.75,10
LGOc1,LGOK6,Market Price,2026-05-01T02:00:00.000000000Z,+1,Intraday 1Hour,1318,1332.5,1317.25,1328.5,95
LGOc1,LGOK6,Market Price,2026-05-01T04:00:00.000000000Z,+1,Intraday 1Hour,1320,1320,1320,1320,6
LGOc1,LGOK6,Market Price,2026-05-01T05:00:00.000000000Z,+1,Intraday 1Hour,1316.25,1320.25,1313.5,1317,39
LGOc1,LGOK6,Market Price,2026-05-01T06:00:00.000000000Z,+1,Intraday 1Hour,1317,1330.5,1317,1326.75,346
LGOc1,LGOK6,Market Price,2026-05-01T07:00:00.000000000Z,+1,Intraday 1Hour,1326.5,1327.25,1306.75,1322.75,911
LGOc1,LGOK6,Market Price,2026-05-01T08:00:00.000000000Z,+1,Intraday 1Hour,1323.5,1339,1322,1335,1418
LGOc1,LGOK6,Market Price,2026-05-01T09:00:00.000000000Z,+1,Intraday 1Hour,1337.5,1343,1320,1322.5,1139
LGOc1,LGOK6,Market Price,2026-05-01T10:00:00.000000000Z,+1,Intraday 1Hour,1323.75,1326.5,1318.25,1320.5,683
LGOc1,LGOK6,Market Price,2026-05-01T11:00:00.000000000Z,+1,Intraday 1Hour,1319.25,1320,1310.25,1313.5,432
LGOc1,LGOK6,Market Price,2026-05-01T12:00:00.000000000Z,+1,Intraday 1Hour,1312.75,1316,1290,1296.75,1343
LGOc1,LGOK6,Market Price,2026-05-01T13:00:00.000000000Z,+1,Intraday 1Hour,1295.75,1301,1279.5,1282.75,2545
LGOc1,LGOK6,Market Price,2026-05-01T14:00:00.000000000Z,+1,Intraday 1Hour,1283.25,1303.25,1265,1303.25,3922
LGOc1,LGOK6,Market Price,2026-05-01T15:00:00.000000000Z,+1,Intraday 1Hour,1303.25,1307.5,1286.75,1289,4606
LGOc1,LGOK6,Market Price,2026-05-01T16:00:00.000000000Z,+1,Intraday 1Hour,1286.75,1293.5,1277,1292.25,1543
LGOc1,LGOK6,Market Price,2026-05-01T17:00:00.000000000Z,+1,Intraday 1Hour,1292.25,1292.25,1273,1273,708
LGOc1,LGOK6,Market Price,2026-05-01T18:00:00.000000000Z,+1,Intraday 1Hour,1273,1284.5,1273,1283.25,258
LGOc1,LGOK6,Market Price,2026-05-01T19:00:00.000000000Z,+1,Intraday 1Hour,1282,1282,1273.25,1276,206
LGOc1,LGOK6,Market Price,2026-05-01T20:00:00.000000000Z,+1,Intraday 1Hour,1276.75,1286,1276.75,1284.25,170
LGOc1,LGOK6,Market Price,2026-05-01T21:00:00.000000000Z,+1,Intraday 1Hour,1285.5,1285.5,1285.5,1285.5,11
LGOc1,LGOK6,Market Price,2026-05-03T22:00:00.000000000Z,+1,Intraday 1Hour,1267,1280.25,1253.75,1274.75,300
LGOc1,LGOK6,Market Price,2026-05-03T23:00:00.000000000Z,+1,Intraday 1Hour,1279,1279.25,1278.25,1279.25,15
LGOc1,LGOK6,Market Price,2026-05-04T00:00:00.000000000Z,+1,Intraday 1Hour,1279.25,1279.25,1279.25,1279.25,9
LGOc1,LGOK6,Market Price,2026-05-04T01:00:00.000000000Z,+1,Intraday 1Hour,1273.5,1273.5,1273.5,1273.5,2
LGOc1,LGOK6,Market Price,2026-05-04T02:00:00.000000000Z,+1,Intraday 1Hour,1274,1276,1274,1276,3
LGOc1,LGOK6,Market Price,2026-05-04T03:00:00.000000000Z,+1,Intraday 1Hour,1282,1282,1281,1281,41
LGOc1,LGOK6,Market Price,2026-05-04T04:00:00.000000000Z,+1,Intraday 1Hour,1276.75,1277.5,1276.75,1277.5,13
LGOc1,LGOK6,Market Price,2026-05-04T05:00:00.000000000Z,+1,Intraday 1Hour,1277.5,1277.5,1256.75,1265,171
LGOc1,LGOK6,Market Price,2026-05-04T06:00:00.000000000Z,+1,Intraday 1Hour,1266.25,1288.5,1264.25,1288.25,575
LGOc1,LGOK6,Market Price,2026-05-04T07:00:00.000000000Z,+1,Intraday 1Hour,1286.5,1293,1282.25,1293,2023
LGOc1,LGOK6,Market Price,2026-05-04T08:00:00.000000000Z,+1,Intraday 1Hour,1293.5,1299.5,1276,1276.5,2013
LGOc1,LGOK6,Market Price,2026-05-04T09:00:00.000000000Z,+1,Intraday 1Hour,1278,1279.75,1271,1275,1084
LGOc1,LGOK6,Market Price,2026-05-04T10:00:00.000000000Z,+1,Intraday 1Hour,1274.5,1310.5,1271.25,1290.5,4101
LGOc1,LGOK6,Market Price,2026-05-04T11:00:00.000000000Z,+1,Intraday 1Hour,1288.25,1298.5,1280.75,1287.5,1335
LGOc1,LGOK6,Market Price,2026-05-04T12:00:00.000000000Z,+1,Intraday 1Hour,1288,1293.25,1277,1293,791
