#RIC,Alias Underlying RIC,Domain,Date-Time,GMT Offset,Type,Open,High,Low,Last,Volume
LGOc7,LGOX6,Market Price,2026-05-01T00:00:00.000000000Z,+1,Intraday 1Hour,960.5,962.25,960.5,962.25,24
LGOc7,LGOX6,Market Price,2026-05-01T01:00:00.000000000Z,+1,Intraday 1Hour,962.75,963,959.25,959.25,44
LGOc7,LGOX6,Market Price,2026-05-01T02:00:00.000000000Z,+1,Intraday 1Hour,964.25,964.25,964.25,964.25,4
LGOc7,LGOX6,Market Price,2026-05-01T03:00:00.000000000Z,+1,Intraday 1Hour,958.25,958.25,958.25,958.25,2
LGOc7,LGOX6,Market Price,2026-05-01T04:00:00.000000000Z,+1,Intraday 1Hour,957.5,957.5,956,956,3
LGOc7,LGOX6,Market Price,2026-05-01T05:00:00.000000000Z,+1,Intraday 1Hour,956.5,957.5,956.5,957.5,9
LGOc7,LGOX6,Market Price,2026-05-01T06:00:00.000000000Z,+1,Intraday 1Hour,957,963.75,955.75,963.75,44
LGOc7,LGOX6,Market Price,2026-05-01T07:00:00.000000000Z,+1,Intraday 1Hour,962,962.5,955,959.5,379
LGOc7,LGOX6,Market Price,2026-05-01T08:00:00.000000000Z,+1,Intraday 1Hour,960.5,966.25,959.5,966.25,256
LGOc7,LGOX6,Market Price,2026-05-01T09:00:00.000000000Z,+1,Intraday 1Hour,967,969.25,961.5,961.5,243
LGOc7,LGOX6,Market Price,2026-05-01T10:00:00.000000000Z,+1,Intraday 1Hour,963,963.25,960.75,961.5,95
LGOc7,LGOX6,Market Price,2026-05-01T11:00:00.000000000Z,+1,Intraday 1Hour,961,961,957.25,957.25,227
LGOc7,LGOX6,Market Price,2026-05-01T12:00:00.000000000Z,+1,Intraday 1Hour,958,959.75,948,953,546
LGOc7,LGOX6,Market Price,2026-05-01T13:00:00.000000000Z,+1,Intraday 1Hour,952.25,953.75,935.75,936.75,1083
LGOc7,LGOX6,Market Price,2026-05-01T14:00:00.000000000Z,+1,Intraday 1Hour,937.5,940.25,927.25,940,908
LGOc7,LGOX6,Market Price,2026-05-01T15:00:00.000000000Z,+1,Intraday 1Hour,941.25,943.5,932.25,933.25,925
LGOc7,LGOX6,Market Price,2026-05-01T16:00:00.000000000Z,+1,Intraday 1Hour,931.75,942,931,939,672
LGOc7,LGOX6,Market Price,2026-05-01T17:00:00.000000000Z,+1,Intraday 1Hour,937.5,937.75,932.75,933.5,446
