#RIC,Alias Underlying RIC,Domain,Date-Time,GMT Offset,Type,Open,High,Low,Last,Volume
CLc2,CLN26,Market Price,2026-04-30T23:00:00.000000000Z,-4,Intraday 1Hour,99.94,100.16,99.81,99.91,471
CLc2,CLN26,Market Price,2026-05-01T00:00:00.000000000Z,-4,Intraday 1Hour,99.91,100.34,99.65,100.15,2041
CLc2,CLN26,Market Price,2026-05-01T01:00:00.000000000Z,-4,Intraday 1Hour,100.14,100.45,99.74,99.88,933
CLc2,CLN26,Market Price,2026-05-01T02:00:00.000000000Z,-4,Intraday 1Hour,99.85,100.65,99.69,99.93,1080
CLc2,CLN26,Market Price,2026-05-01T03:00:00.000000000Z,-4,Intraday 1Hour,99.86,100.11,99.79,99.91,315
CLc2,CLN26,Market Price,2026-05-01T04:00:00.000000000Z,-4,Intraday 1Hour,99.9,99.94,99.39,99.39,383
CLc2,CLN26,Market Price,2026-05-01T05:00:00.000000000Z,-4,Intraday 1Hour,99.53,99.63,99.34,99.47,383
CLc2,CLN26,Market Price,2026-05-01T06:00:00.000000000Z,-4,Intraday 1Hour,99.45,100.81,99.45,100.27,1745
CLc2,CLN26,Market Price,2026-05-01T07:00:00.000000000Z,-4,Intraday 1Hour,100.26,100.4,98.68,99.81,5827
CLc2,CLN26,Market Price,2026-05-01T08:00:00.000000000Z,-4,Intraday 1Hour,99.8,100,98.93,99.6,2863
CLc2,CLN26,Market Price,2026-05-01T09:00:00.000000000Z,-4,Intraday 1Hour,99.65,100.27,99.3,99.52,2497
CLc2,CLN26,Market Price,2026-05-01T10:00:00.000000000Z,-4,Intraday 1Hour,99.56,99.88,99.32,99.38,2072
CLc2,CLN26,Market Price,2026-05-01T11:00:00.000000000Z,-4,Intraday 1Hour,99.41,99.53,98.66,98.68,5200
CLc2,CLN26,Market Price,2026-05-01T12:00:00.000000000Z,-4,Intraday 1Hour,98.7,98.95,97.28,98.39,11898
CLc2,CLN26,Market Price,2026-05-01T13:00:00.000000000Z,-4,Intraday 1Hour,98.42,98.48,95.45,95.78,13008
CLc2,CLN26,Market Price,2026-05-01T14:00:00.000000000Z,-4,Intraday 1Hour,95.8,96.5,94.28,96.35,17041
CLc2,CLN26,Market Price,2026-05-01T15:00:00.000000000Z,-4,Intraday 1Hour,96.39,97.09,95.73,95.99,10212
CLc2,CLN26,Market Price,2026-05-01T16:00:00.000000000Z,-4,Intraday 1Hour,95.97,97.13,95.6,96.62,9942
CLc2,CLN26,Market Price,2026-05-01T17:00:00.000000000Z,-4,Intraday 1Hour,96.66,96.67,95.76,96.07,11861
CLc2,CLN26,Market Price,2026-05-01T18:00:00.000000000Z,-4,Intraday 1Hour,96.07,97.13,95.85,96.82,14771
CLc2,CLN26,Market Price,2026-05-01T19:00:00.000000000Z,-4,Intraday 1Hour,96.84,97.05,96.5,96.9,2945
CLc2,CLN26,Market Price,2026-05-01T20:00:00.000000000Z,-4,Intraday 1Hour,96.91,97.44,96.79,97.22,1874
CLc2,CLN26,Market Price,2026-05-03T22:00:00.000000000Z,-4,Intraday 1Hour,94.78,96.24,94.34,95.84,5512
CLc2,CLN26,Market Price,2026-05-03T23:00:00.000000000Z,-4,Intraday 1Hour,95.84,96.57,95.77,96.5,590
CLc2,CLN26,Market Price,2026-05-04T00:00:00.000000000Z,-4,Intraday 1Hour,96.56,97.07,95.88,96.01,1656
CLc2,CLN26,Market Price,2026-05-04T01:00:00.000000000Z,-4,Intraday 1Hour,95.99,96.7,95.98,96.43,425
CLc2,CLN26,Market Price,2026-05-04T02:00:00.000000000Z,-4,Intraday 1Hour,96.41,96.85,96.23,96.63,499
CLc2,CLN26,Market Price,2026-05-04T03:00:00.000000000Z,-4,Intraday 1Hour,96.65,96.98,96.56,96.7,509
CLc2,CLN26,Market Price,2026-05-04T04:00:00.000000000Z,-4,Intraday 1Hour,96.7,96.7,96.01,96.46,368
CLc2,CLN26,Market Price,2026-05-04T05:00:00.000000000Z,-4,Intraday 1Hour,96.52,96.55,95.05,95.7,1253
CLc2,CLN26,Market Price,2026-05-04T06:00:00.000000000Z,-4,Intraday 1Hour,95.72,97.34,95.62,97.01,2036
CLc2,CLN26,Market Price,2026-05-04T07:00:00.000000000Z,-4,Intraday 1Hour,97.01,97.92,97.01,97.92,4005
CLc2,CLN26,Market Price,2026-05-04T08:00:00.000000000Z,-4,Intraday 1Hour,97.95,98.85,97.57,97.72,3600
CLc2,CLN26,Market Price,2026-05-04T09:00:00.000000000Z,-4,Intraday 1Hour,97.73,97.81,97.18,97.67,1425
CLc2,CLN26,Market Price,2026-05-04T10:00:00.000000000Z,-4,Intraday 1Hour,97.67,101.47,97.64,99.84,13435
CLc2,CLN26,Market Price,2026-05-04T11:00:00.000000000Z,-4,Intraday 1Hour,99.83,100.27,98.45,98.65,6188
CLc2,CLN26,Market Price,2026-05-04T12:00:00.000000000Z,-4,Intraday 1Hour,98.66,98.7,96.8,97.46,13543
CLc2,CLN26,Market Price,2026-05-04T13:00:00.000000000Z,-4,Intraday 1Hour,97.51,98.7,96.77,97.48,15113
CLc2,CLN26,Market Price,2026-05-04T14:00:00.000000000Z,-4,Intraday 1Hour,97.5,98.98,96.95,98.82,24367
CLc2,CLN26,Market Price,2026-05-04T15:00:00.000000000Z,-4,Intraday 1Hour,98.82,100.9,98.33,100.52,28622
CLc2,CLN26,Market Price,2026-05-04T16:00:00.000000000Z,-4,Intraday 1Hour,100.53,101.59,99.86,101.27,18873
CLc2,CLN26,Market Price,2026-05-04T17:00:00.000000000Z,-4,Intraday 1Hour,101.29,101.42,100.24,100.58,13802
CLc2,CLN26,Market Price,2026-05-04T18:00:00.000000000Z,-4,Intraday 1Hour,100.58,101.8,100.06,101.02,17474
CLc2,CLN26,Market Price,2026-05-04T19:00:00.000000000Z,-4,Intraday 1Hour,101,101.2,100.28,100.73,4759
CLc2,CLN26,Market Price,2026-05-04T20:00:00.000000000Z,-4,Intraday 1Hour,100.69,100.76,100.09,100.52,1847
CLc2,CLN26,Market Price,2026-05-04T22:00:00.000000000Z,-4,Intraday 1Hour,100.52,100.92,100.18,100.42,303
CLc2,CLN26,Market Price,2026-05-04T23:00:00.000000000Z,-4,Intraday 1Hour,100.34,100.5,100.27,100.4,209
CLc2,CLN26,Market Price,2026-05-05T00:00:00.000000000Z,-4,Intraday 1Hour,100.41,100.58,99.94,100.25,463
CLc2,CLN26,Market Price,2026-05-05T01:00:00.000000000Z,-4,Intraday 1Hour,100.36,100.42,99.98,100.14,228
CLc2,CLN26,Market Price,2026-05-05T02:00:00.000000000Z,-4,Intraday 1Hour,100.07,100.07,99.37,99.59,530
CLc2,CLN26,Market Price,2026-05-05T03:00:00.000000000Z,-4,Intraday 1Hour,99.58,99.86,99.53,99.7,214
CLc2,CLN26,Market Price,2026-05-05T04:00:00.000000000Z,-4,Intraday 1Hour,99.71,99.75,99.27,99.6,240
CLc2,CLN26,Market Price,2026-05-05T05:00:00.000000000Z,-4,Intraday 1Hour,99.61,100.07,99.61,99.81,444
CLc2,CLN26,Market Price,2026-05-05T06:00:00.000000000Z,-4,Intraday 1Hour,99.81,100.81,99.59,100.06,1522
CLc2,CLN26,Market Price,2026-05-05T07:00:00.000000000Z,-4,Intraday 1Hour,100.02,100.41,98.89,100.23,2574
CLc2,CLN26,Market Price,2026-05-05T08:00:00.000000000Z,-4,Intraday 1Hour,100.15,100.29,98.86,99.18,3329
CLc2,CLN26,Market Price,2026-05-05T09:00:00.000000000Z,-4,Intraday 1Hour,99.37,100.15,99.34,99.77,2384
CLc2,CLN26,Market Price,2026-05-05T10:00:00.000000000Z,-4,Intraday 1Hour,99.78,100.2,99.34,100.04,3051
CLc2,CLN26,Market Price,2026-05-05T11:00:00.000000000Z,-4,Intraday 1Hour,100.04,100.83,99.63,99.63,3091
CLc2,CLN26,Market Price,2026-05-05T12:00:00.000000000Z,-4,Intraday 1Hour,99.65,100.09,98.58,99.19,7859
CLc2,CLN26,Market Price,2026-05-05T13:00:00.000000000Z,-4,Intraday 1Hour,99.19,99.33,98.09,98.31,15225
CLc2,CLN26,Market Price,2026-05-05T14:00:00.000000000Z,-4,Intraday 1Hour,98.3,99.15,97.45,97.88,24096
CLc2,CLN26,Market Price,2026-05-05T15:00:00.000000000Z,-4,Intraday 1Hour,97.9,98.59,97.33,97.91,13593
CLc2,CLN26,Market Price,2026-05-05T16:00:00.000000000Z,-4,Intraday 1Hour,97.91,98.33,97.74,98.28,9911
CLc2,CLN26,Market Price,2026-05-05T17:00:00.000000000Z,-4,Intraday 1Hour,98.27,98.36,97.6,98.01,11723
CLc2,CLN26,Market Price,2026-05-05T18:00:00.000000000Z,-4,Intraday 1Hour,98.02,98.42,97.84,97.99,16829
CLc2,CLN26,Market Price,2026-05-05T19:00:00.000000000Z,-4,Intraday 1Hour,97.99,98.58,97.93,98.48,4230
CLc2,CLN26,Market Price,2026-05-05T20:00:00.000000000Z,-4,Intraday 1Hour,98.5,98.52,98.18,98.41,3979
CLc2,CLN26,Market Price,2026-05-05T22:00:00.000000000Z,-4,Intraday 1Hour,98.24,98.38,95.14,96.95,1933
CLc2,CLN26,Market Price,2026-05-05T23:00:00.000000000Z,-4,Intraday 1Hour,96.88,97,95.35,95.74,1805
CLc2,CLN26,Market Price,2026-05-06T00:00:00.000000000Z,-4,Intraday 1Hour,95.73,97.11,95.43,96.72,2557
CLc2,CLN26,Market Price,2026-05-06T01:00:00.000000000Z,-4,Intraday 1Hour,96.7,96.96,95.87,96.25,1291
CLc2,CLN26,Market Price,2026-05-06T02:00:00.000000000Z,-4,Intraday 1Hour,96.23,96.5,96.22,96.32,485
CLc2,CLN26,Market Price,2026-05-06T03:00:00.000000000Z,-4,Intraday 1Hour,96.35,96.65,96.15,96.37,844
CLc2,CLN26,Market Price,2026-05-06T04:00:00.000000000Z,-4,Intraday 1Hour,96.41,96.53,96.07,96.31,496
CLc2,CLN26,Market Price,2026-05-06T05:00:00.000000000Z,-4,Intraday 1Hour,96.27,97.2,96.1,96.14,677
CLc2,CLN26,Market Price,2026-05-06T06:00:00.000000000Z,-4,Intraday 1Hour,96.18,97.05,95.62,96.65,1621
CLc2,CLN26,Market Price,2026-05-06T07:00:00.000000000Z,-4,Intraday 1Hour,96.68,97.01,94.32,94.41,4662
CLc2,CLN26,Market Price,2026-05-06T08:00:00.000000000Z,-4,Intraday 1Hour,94.4,95.48,91.74,92.16,10389
CLc2,CLN26,Market Price,2026-05-06T09:00:00.000000000Z,-4,Intraday 1Hour,92.18,92.98,90.2,90.31,9114
CLc2,CLN26,Market Price,2026-05-06T10:00:00.000000000Z,-4,Intraday 1Hour,90.31,90.35,86.89,87.21,14693
CLc2,CLN26,Market Price,2026-05-06T11:00:00.000000000Z,-4,Intraday 1Hour,87.25,89.48,86.13,89.44,15397
CLc2,CLN26,Market Price,2026-05-06T12:00:00.000000000Z,-4,Intraday 1Hour,89.46,92.64,89.38,91.99,22434
CLc2,CLN26,Market Price,2026-05-06T13:00:00.000000000Z,-4,Intraday 1Hour,92,93.26,91.77,92.23,19215
CLc2,CLN26,Market Price,2026-05-06T14:00:00.000000000Z,-4,Intraday 1Hour,92.22,93.44,90.86,91.41,17290
CLc2,CLN26,Market Price,2026-05-06T15:00:00.000000000Z,-4,Intraday 1Hour,91.39,92.51,91.17,91.73,10980
CLc2,CLN26,Market Price,2026-05-06T16:00:00.000000000Z,-4,Intraday 1Hour,91.75,92.51,91,92.06,10019
CLc2,CLN26,Market Price,2026-05-06T17:00:00.000000000Z,-4,Intraday 1Hour,92.09,92.14,91.23,91.44,11216
CLc2,CLN26,Market Price,2026-05-06T18:00:00.000000000Z,-4,Intraday 1Hour,91.46,91.5,90.63,91.32,21053
CLc2,CLN26,Market Price,2026-05-06T19:00:00.000000000Z,-4,Intraday 1Hour,91.32,91.67,90.96,91.59,5619
CLc2,CLN26,Market Price,2026-05-06T20:00:00.000000000Z,-4,Intraday 1Hour,91.63,92.27,91.36,92.14,13383
CLc2,CLN26,Market Price,2026-05-06T22:00:00.000000000Z,-4,Intraday 1Hour,91.85,92.04,91.54,91.8,666
CLc2,CLN26,Market Price,2026-05-06T23:00:00.000000000Z,-4,Intraday 1Hour,91.79,91.96,91.67,91.86,284
CLc2,CLN26,Market Price,2026-05-07T00:00:00.000000000Z,-4,Intraday 1Hour,91.88,92.45,91.74,92.07,1089
CLc2,CLN26,Market Price,2026-05-07T01:00:00.000000000Z,-4,Intraday 1Hour,92.11,92.35,91.38,91.41,1603
CLc2,CLN26,Market Price,2026-05-07T02:00:00.000000000Z,-4,Intraday 1Hour,91.42,91.77,90.84,91.66,585
CLc2,CLN26,Market Price,2026-05-07T03:00:00.000000000Z,-4,Intraday 1Hour,91.7,91.93,91.46,91.8,389
CLc2,CLN26,Market Price,2026-05-07T04:00:00.000000000Z,-4,Intraday 1Hour,91.85,91.86,91.55,91.58,320
CLc2,CLN26,Market Price,2026-05-07T05:00:00.000000000Z,-4,Intraday 1Hour,91.59,91.83,91.4,91.49,623
CLc2,CLN26,Market Price,2026-05-07T06:00:00.000000000Z,-4,Intraday 1Hour,91.54,91.74,90.35,90.89,2052
CLc2,CLN26,Market Price,2026-05-07T07:00:00.000000000Z,-4,Intraday 1Hour,90.88,90.93,88.33,89.92,8592
CLc2,CLN26,Market Price,2026-05-07T08:00:00.000000000Z,-4,Intraday 1Hour,89.93,91.05,89.31,89.45,3873
CLc2,CLN26,Market Price,2026-05-07T09:00:00.000000000Z,-4,Intraday 1Hour,89.46,89.76,88.78,89.53,2671
CLc2,CLN26,Market Price,2026-05-07T10:00:00.000000000Z,-4,Intraday 1Hour,89.59,89.96,88.93,89.48,3019
CLc2,CLN26,Market Price,2026-05-07T11:00:00.000000000Z,-4,Intraday 1Hour,89.46,89.55,88.18,88.49,5514
CLc2,CLN26,Market Price,2026-05-07T12:00:00.000000000Z,-4,Intraday 1Hour,88.55,88.69,86.76,87.43,14379
CLc2,CLN26,Market Price,2026-05-07T13:00:00.000000000Z,-4,Intraday 1Hour,87.43,89.27,87.43,87.92,16299
CLc2,CLN26,Market Price,2026-05-07T14:00:00.000000000Z,-4,Intraday 1Hour,87.95,88.27,87.13,88.02,16613
