#RIC,Alias Underlying RIC,Domain,Date-Time,GMT Offset,Type,Open,High,Low,Last,Volume
CLc8,CLF27,Market Price,2026-04-30T23:00:00.000000000Z,-4,Intraday 1Hour,,,,,14
CLc8,CLF27,Market Price,2026-05-01T00:00:00.000000000Z,-4,Intraday 1Hour,,,,,211
CLc8,CLF27,Market Price,2026-05-01T01:00:00.000000000Z,-4,Intraday 1Hour,79.67,79.79,79.62,79.62,31
CLc8,CLF27,Market Price,2026-05-01T02:00:00.000000000Z,-4,Intraday 1Hour,79.58,79.76,79.58,79.76,70
CLc8,CLF27,Market Price,2026-05-01T03:00:00.000000000Z,-4,Intraday 1Hour,79.45,79.53,79.45,79.53,15
CLc8,CLF27,Market Price,2026-05-01T04:00:00.000000000Z,-4,Intraday 1Hour,,,,,54
CLc8,CLF27,Market Price,2026-05-01T05:00:00.000000000Z,-4,Intraday 1Hour,,,,,19
CLc8,CLF27,Market Price,2026-05-01T06:00:00.000000000Z,-4,Intraday 1Hour,,,,,89
CLc8,CLF27,Market Price,2026-05-01T07:00:00.000000000Z,-4,Intraday 1Hour,79.5,79.67,79.5,79.67,753
CLc8,CLF27,Market Price,2026-05-01T08:00:00.000000000Z,-4,Intraday 1Hour,79.62,79.7,79.25,79.55,384
CLc8,CLF27,Market Price,2026-05-01T09:00:00.000000000Z,-4,Intraday 1Hour,79.56,79.75,79.56,79.75,139
CLc8,CLF27,Market Price,2026-05-01T10:00:00.000000000Z,-4,Intraday 1Hour,79.6,79.6,79.58,79.58,195
CLc8,CLF27,Market Price,2026-05-01T11:00:00.000000000Z,-4,Intraday 1Hour,,,,,500
CLc8,CLF27,Market Price,2026-05-01T12:00:00.000000000Z,-4,Intraday 1Hour,79.11,79.18,78.83,79.18,1057
CLc8,CLF27,Market Price,2026-05-01T13:00:00.000000000Z,-4,Intraday 1Hour,79.16,79.18,77.87,77.89,1187
CLc8,CLF27,Market Price,2026-05-01T14:00:00.000000000Z,-4,Intraday 1Hour,77.84,77.84,77.33,77.74,2041
CLc8,CLF27,Market Price,2026-05-01T15:00:00.000000000Z,-4,Intraday 1Hour,77.8,77.81,77.44,77.46,1098
CLc8,CLF27,Market Price,2026-05-01T16:00:00.000000000Z,-4,Intraday 1Hour,77.52,77.54,77.52,77.54,1198
CLc8,CLF27,Market Price,2026-05-01T17:00:00.000000000Z,-4,Intraday 1Hour,78,78.11,77.88,77.88,753
CLc8,CLF27,Market Price,2026-05-01T18:00:00.000000000Z,-4,Intraday 1Hour,78.26,78.3,77.98,77.98,3008
CLc8,CLF27,Market Price,2026-05-01T19:00:00.000000000Z,-4,Intraday 1Hour,78.07,78.19,78.07,78.19,312
CLc8,CLF27,Market Price,2026-05-01T20:00:00.000000000Z,-4,Intraday 1Hour,78.22,78.5,78.22,78.43,841
CLc8,CLF27,Market Price,2026-05-03T22:00:00.000000000Z,-4,Intraday 1Hour,77.59,77.59,77.59,77.59,543
CLc8,CLF27,Market Price,2026-05-03T23:00:00.000000000Z,-4,Intraday 1Hour,,,,,102
CLc8,CLF27,Market Price,2026-05-04T00:00:00.000000000Z,-4,Intraday 1Hour,78.43,78.43,78.17,78.18,215
CLc8,CLF27,Market Price,2026-05-04T01:00:00.000000000Z,-4,Intraday 1Hour,78.24,78.42,78.24,78.39,30
CLc8,CLF27,Market Price,2026-05-04T02:00:00.000000000Z,-4,Intraday 1Hour,78.5,78.5,78.5,78.5,62
CLc8,CLF27,Market Price,2026-05-04T03:00:00.000000000Z,-4,Intraday 1Hour,78.55,78.84,78.55,78.81,93
CLc8,CLF27,Market Price,2026-05-04T04:00:00.000000000Z,-4,Intraday 1Hour,,,,,24
CLc8,CLF27,Market Price,2026-05-04T05:00:00.000000000Z,-4,Intraday 1Hour,78.17,78.2,78.17,78.2,367
CLc8,CLF27,Market Price,2026-05-04T06:00:00.000000000Z,-4,Intraday 1Hour,78.28,78.6,78.28,78.6,67
